Respondent;S3_Recode;CATV_INSTALLATION_DATE;Churn_risk;CITY_NAME;CommercialProductName;COMMUNITY_NAME;ConvergedStatus;DTV_INSTALLATION_DATE;DTV_TIER_OPTION_NAME;Film1;FixedVoicePlan;FoxSportEDL;FoxSportINT;HasCATV;HasDTV;HasINT;HasTEL;INTERNET_INSTALLATION_DATE;INTERNET_TIER_OPTION_NAME;InternetSecurityType;IntSecurity_Benefit;Kids_Benefit;MediaBoxType;MoviesSeriesL;MoviesSeriesStd;MoviesSeriesXL;MSL_Benefit;PlayLevel;SALUTATION;TELEPHONY_INSTALLATION_DATE;TELEPHONY_TIER_OPTION_NAME;Tenure;TVContentPack;Sport,
416;HIGH RISK;40360;mid;AMSTERDAM;TV Start;AMSTERDAM;Not Converged;40360;Extra Channel Pack No Horizon;0;;0;0;1;1;0;0;;;;0;0;MEDIABOX;0;0;1;0;TV;Dhr.;;;1.067.945.205;Extra Channel Pack;0,
417;HIGH RISK;41030;high;HEERHUGOWAARD;Internet Start & TV Start;HEERHUGOWAARD;Converged;41030;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;41030;50 / 5 MBPS;SAFE ONLINE XL;1;0;MEDIABOX;1;0;0;1;TV + INT + TEL;Dhr.;41030;Vast Bellen;8.843.835.616;Standard Channel Pack;0,
418;HIGH RISK;41415;mid;NIJLAND;Internet Max & TV Max;SUDWEST-FRYSLAN;Not Converged;41415;Extra Channel Pack Horizon;0;Vast Bellen;0;0;1;1;1;1;41415;500 / 50 MBPS;SAFE ONLINE;0;0;MEDIABOX XL;0;0;1;0;TV + INT + TEL;Dhr.;41415;Vast Bellen;7.789.041.096;Extra Channel Pack;0,
419;MEDIUM RISK;41216;mid;HAARLEM;Internet Start & TV Complete;HAARLEM;Converged;41216;Standard Channel Pack Horizon;0;Vast Bellen;0;0;1;1;1;1;41216;50 / 5 MBPS;SAFE ONLINE XL;1;0;MEDIABOX XL;0;1;0;0;TV + INT + TEL;Dhr.;41216;Vast Bellen;8.334.246.575;Standard Channel Pack;1,
420;MEDIUM RISK;41650;low;ROTTERDAM;Internet Max & TV Max Next;ROTTERDAM;Converged;41650;Extra Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;41650;500 / 50 MBPS;SAFE ONLINE XL;1;0;MEDIABOX NEXT;0;0;1;0;TV + INT + TEL;Dhr.;41650;Vast Bellen;7.145.205.479;Extra Channel Pack;1,
421;LOYAL & LIGHT RISK;42633;low;TEGELEN;Internet Complete & Kabel TV;VENLO;Not Converged;42633;Cable TV;0;;0;0;1;0;1;0;42633;250 / 25 MBPS;SAFE ONLINE;0;0;;0;0;0;0;TV + INT;Dhr.;43672;;4.452.054.795;Cable TV;0,
422;MEDIUM RISK;42553;mid;AMSTERDAM;Internet Start & TV Start;AMSTERDAM;Not Converged;42553;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;42553;50 / 5 MBPS;SAFE ONLINE;0;0;MEDIABOX;0;0;0;0;TV + INT + TEL;Dhr.;42553;Vast Bellen;4.671.232.877;Standard Channel Pack;0,
423;HIGH RISK;40308;low;DE MEERN;Internet Complete & TV Complete Next;UTRECHT;Not Converged;40308;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;40308;250 / 25 MBPS;SAFE ONLINE;0;0;MEDIABOX NEXT;0;1;0;0;TV + INT + TEL;Dhr.;40308;Vast Bellen;1.082.191.781;Standard Channel Pack;0,
424;HIGH RISK;41723;low;GROESSEN;Internet Complete & TV Complete Next;DUIVEN;Converged;41723;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;41723;250 / 25 MBPS;SAFE ONLINE XL;1;0;MEDIABOX NEXT;0;1;0;0;TV + INT + TEL;Dhr.;41723;Vast Bellen;6.945.205.479;Standard Channel Pack;1,
425;LOYAL & LIGHT RISK;42553;mid;AMSTERDAM;Internet Complete & TV Complete;AMSTERDAM;Not Converged;42553;Standard Channel Pack Horizon;0;Vast Bellen;0;0;1;1;1;1;42553;250 / 25 MBPS;SAFE ONLINE;0;0;MEDIABOX XL;0;1;0;0;TV + INT + TEL;Mevr.;42553;Vast Bellen;4.671.232.877;Standard Channel Pack;0,
426;MEDIUM RISK;40674;mid;BODEGRAVEN;Alles-in-1 Basis (digitaal) (fZiggo);BODEGRAVEN-REEUWIJK;Not Converged;40674;Extra Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;42077;50 / 5 MBPS;SAFE ONLINE;0;0;;0;0;1;0;TV + INT + TEL;Dhr.;42077;Vast Bellen;9.819.178.082;Extra Channel Pack;0,
428;MEDIUM RISK;40200;mid;ZWOLLE;MultiCore;ZWOLLE;Not Converged;40200;Cable TV;0;Volop Bellen;0;0;1;0;1;1;40200;50 / 5 MBPS;SAFE ONLINE;0;0;;0;0;0;0;TV + INT + TEL;Mevr.;40200;Volop Bellen;1.111.780.822;Cable TV;0,
429;MEDIUM RISK;43305;high;NIJVERDAL;Internet Start & TV Start;HELLENDOORN;Converged;43301;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;43301;50 / 5 MBPS;SAFE ONLINE XL;1;0;MEDIABOX;1;0;0;1;TV + INT + TEL;Mevr.;43301;Vast Bellen;2.621.917.808;Standard Channel Pack;0,
430;HIGH RISK;42665;mid;UITHUIZEN;Internet Complete & TV Complete;HET HOGELAND;Converged;42665;Standard Channel Pack Horizon;0;Vast Bellen;0;0;1;1;1;1;42665;250 / 25 MBPS;SAFE ONLINE XL;1;0;MEDIABOX XL;0;1;0;0;TV + INT + TEL;Dhr.;42665;Vast Bellen;4.364.383.562;Standard Channel Pack;0,
431;HIGH RISK;43088;mid;KAMPEN;Internet Complete & TV Complete Next (zonder bellen);KAMPEN;Converged;43070;Standard Channel Pack No Horizon;0;;0;0;1;1;1;0;43070;250 / 25 MBPS;SAFE ONLINE XL;1;0;MEDIABOX NEXT;0;1;0;0;TV + INT;Dhr.;;;3.254.794.521;Standard Channel Pack;1,
432;HIGH RISK;44168;low;RODEN;Internet Start & TV Complete;NOORDENVELD;Converged;44167;Standard Channel Pack Horizon;0;Volop Bellen;0;0;1;1;1;1;44167;50 / 5 MBPS;SAFE ONLINE XL;1;0;MEDIABOX XL;1;1;0;1;TV + INT + TEL;Dhr.;44167;Volop Bellen;0.249315068;Standard Channel Pack;0,
433;HIGH RISK;40329;low;DEN HELDER;Alles-in-1 Plus (digitaal) (fZiggo);DEN HELDER;Not Converged;40329;Extra Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;40329;250 / 25 MBPS;SAFE ONLINE;0;0;;0;0;1;0;TV + INT + TEL;Dhr.;40329;Vast Bellen;1.076.438.356;Extra Channel Pack;1,
434;HIGH RISK;39742;mid;BEVERWIJK;Internet Start & TV Start (2P);BEVERWIJK;Not Converged;39742;Extra Channel Pack No Horizon;0;;0;0;1;1;1;0;39742;50 / 5 MBPS;SAFE ONLINE;0;0;MEDIABOX;0;0;1;0;TV + INT;Dhr.;41940;;1.237.260.274;Extra Channel Pack;0,
435;MEDIUM RISK;41637;high;AMSTELVEEN;TV Start;AMSTELVEEN;Not Converged;41637;Extra Channel Pack No Horizon;0;;1;1;1;1;0;0;;;;0;0;MEDIABOX;0;0;1;0;TV;Mevr.;;;7.180.821.918;Extra Channel Pack;1,
436;MEDIUM RISK;42601;low;ZOETERMEER;Internet Max & TV Max;ZOETERMEER;Not Converged;42601;Extra Channel Pack Horizon;0;Vast Bellen;0;0;1;1;1;1;42601;500 / 50 MBPS;SAFE ONLINE;0;0;MEDIABOX XL;0;0;1;0;TV + INT + TEL;Dhr.;42601;Vast Bellen;4.539.726.027;Extra Channel Pack;0,
437;HIGH RISK;42790;high;ROTTERDAM;Internet Start XXL & TV Start (zonder bellen) (Selene);ROTTERDAM;Converged;42793;Standard Channel Pack Horizon;0;Vast Bellen;0;0;1;1;1;0;42793;100 / 10 MBPS;SAFE ONLINE XL;1;0;MEDIABOX XL (SELENE);1;0;0;1;TV + INT;Dhr.;42793;Vast Bellen;4.021.917.808;Standard Channel Pack;0,
438;HIGH RISK;38958;low;MEPPEL;Internet Start & TV Max Next;MEPPEL;Converged;38958;Extra Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;38958;50 / 5 MBPS;SAFE ONLINE XL;1;0;MEDIABOX NEXT;0;0;1;0;TV + INT + TEL;Mevr.;38958;Vast Bellen;1.452.054.795;Extra Channel Pack;1,
439;MEDIUM RISK;41877;low;HAARLEM;Internet Complete & TV Complete Next;HAARLEM;Converged;41877;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;41877;250 / 25 MBPS;SAFE ONLINE XL;1;0;MEDIABOX NEXT;1;1;0;1;TV + INT + TEL;Dhr.;41877;Vast Bellen;6.523.287.671;Standard Channel Pack;0,
440;MEDIUM RISK;42348;high;LANDGRAAF;MultiCore;LANDGRAAF;Not Converged;42348;Standard Channel Pack No Horizon;0;;0;0;1;1;1;0;42348;250 / 25 MBPS;SAFE ONLINE;0;0;MEDIABOX NEXT;0;1;0;0;TV + INT;Dhr.;;;5.232.876.712;Standard Channel Pack;0,
441;HIGH RISK;38184;low;WOERDEN;Alles-in-1 Plus (digitaal) (fZiggo);WOERDEN;Not Converged;41817;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;41809;250 / 25 MBPS;SAFE ONLINE;0;0;;0;0;0;0;TV + INT + TEL;Dhr.;41809;Vast Bellen;1.664.109.589;Standard Channel Pack;0,
442;LOYAL & LIGHT RISK;42553;mid;WAPENVELD;Internet Start & TV Start;HEERDE;Converged;42553;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;42553;50 / 5 MBPS;SAFE ONLINE XL;1;1;MEDIABOX;0;0;0;0;TV + INT + TEL;Dhr.;42553;Vast Bellen;4.671.232.877;Standard Channel Pack;0,
443;LOYAL & LIGHT RISK;43024;high;NIEUWEGEIN;Internet Start & TV Start;NIEUWEGEIN;Converged;43022;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;43022;50 / 5 MBPS;SAFE ONLINE XL;1;0;MEDIABOX;0;0;0;0;TV + INT + TEL;Dhr.;43022;Vast Bellen;338.630.137;Standard Channel Pack;1,
444;MEDIUM RISK;44170;mid;DEVENTER;Internet Complete & TV Complete (zonder bellen) (Selene);DEVENTER;Converged;44156;Standard Channel Pack Horizon;0;;0;0;1;1;1;0;44156;250 / 25 MBPS;SAFE ONLINE XL;1;0;MEDIABOX XL (SELENE);1;1;0;1;TV + INT;Mevr.;;;0.279452055;Standard Channel Pack;0,
445;HIGH RISK;43028;high;SITTARD;Internet Complete & TV Complete Next;SITTARD-GELEEN;Not Converged;43026;Standard Channel Pack No Horizon;0;Vast Bellen;1;0;1;1;1;1;43026;250 / 25 MBPS;SAFE ONLINE;0;0;MEDIABOX NEXT;0;1;0;0;TV + INT + TEL;Dhr.;43026;Vast Bellen;3.375.342.466;Standard Channel Pack;1,
446;HIGH RISK;42640;mid;AMERSFOORT;Internet Complete & TV Complete Next;AMERSFOORT;Converged;42643;Standard Channel Pack No Horizon;0;Vast Bellen;1;0;1;1;1;1;42643;250 / 25 MBPS;SAFE ONLINE XL;1;1;MEDIABOX NEXT;0;1;0;0;TV + INT + TEL;Mevr.;42643;Vast Bellen;4.432.876.712;Standard Channel Pack;1,
447;HIGH RISK;42650;mid;HELLEVOETSLUIS;Internet Complete & TV Complete;HELLEVOETSLUIS;Converged;42650;Standard Channel Pack Horizon;0;Vast Bellen;0;0;1;1;1;1;42650;250 / 25 MBPS;SAFE ONLINE XL;1;0;MEDIABOX XL;1;1;0;1;TV + INT + TEL;Dhr./Mevr.;42650;Vast Bellen;4.405.479.452;Standard Channel Pack;0,
448;HIGH RISK;40304;low;VELSERBROEK;Internet Complete & TV Max Next;VELSEN;Not Converged;40304;Extra Channel Pack No Horizon;0;Vast Bellen;1;1;1;1;1;1;40304;250 / 25 MBPS;SAFE ONLINE L;0;0;MEDIABOX NEXT;0;0;1;0;TV + INT + TEL;Mevr.;40304;Vast Bellen;1.083.287.671;Extra Channel Pack;1,
449;HIGH RISK;42630;high;BREDA;Internet Complete & TV Start (2P);BREDA;Converged;42630;Standard Channel Pack No Horizon;0;;0;0;1;1;1;0;42630;250 / 25 MBPS;SAFE ONLINE XL;1;0;;0;0;0;0;TV + INT;Dhr.;42630;;4.460.273.973;Standard Channel Pack;1,
450;MEDIUM RISK;40026;low;ANNA PAULOWNA;MultiCore;HOLLANDS KROON;Not Converged;40026;Standard Channel Pack No Horizon;0;Volop Bellen;0;0;1;1;1;1;40026;250 / 25 MBPS;SAFE ONLINE;0;0;MEDIABOX NEXT;0;1;0;0;TV + INT + TEL;Dhr.;40026;Volop Bellen;1.159.452.055;Standard Channel Pack;0,
451;MEDIUM RISK;42648;mid;ZUNDERT;Internet Start & TV Start;ZUNDERT;Not Converged;42648;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;42648;50 / 5 MBPS;SAFE ONLINE;0;0;MEDIABOX;0;0;0;0;TV + INT + TEL;Dhr.;42648;Vast Bellen;4.410.958.904;Standard Channel Pack;0,
452;LOYAL & LIGHT RISK;43462;high;APELDOORN;Internet Complete & TV Max Next;APELDOORN;Not Converged;43461;Extra Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;43461;250 / 25 MBPS;SAFE ONLINE;0;0;MEDIABOX NEXT;0;0;1;0;TV + INT + TEL;Dhr.;43461;Vast Bellen;2.183.561.644;Extra Channel Pack;0,
453;MEDIUM RISK;42249;low;ZWOLLE;Internet Complete & TV Complete Next;ZWOLLE;Not Converged;42249;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;42249;250 / 25 MBPS;SAFE ONLINE L;0;0;MEDIABOX NEXT;0;1;0;0;TV + INT + TEL;Dhr.;42249;Vast Bellen;8.589.041.096;Standard Channel Pack;0,
454;HIGH RISK;39398;mid;OUDE NIEDORP;Alles-in-1 Basis (digitaal) (fZiggo);HOLLANDS KROON;Not Converged;39398;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;39398;50 / 5 MBPS;SAFE ONLINE;0;0;;1;0;0;0;TV + INT + TEL;Aan;39398;Vast Bellen;1.331.506.849;Standard Channel Pack;0,
455;MEDIUM RISK;40284;low;WEERT;Internet Complete & TV Start;WEERT;Converged;40284;Extra Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;40284;250 / 25 MBPS;SAFE ONLINE XL;1;0;MEDIABOX;0;0;1;0;TV + INT + TEL;Dhr.;40284;Vast Bellen;1.088.767.123;Extra Channel Pack;1,
456;HIGH RISK;43588;high;HEEZE;25Mbp/s, Kabel TV & bellen (Tientje Vriendje);HEEZE-LEENDE;Not Converged;;Cable TV;0;Volop Bellen Internationaal;0;0;1;0;1;1;42005;25 / 2.5 MBPS;SAFE ONLINE;0;0;;0;0;0;0;TV + INT + TEL;Dhr./Mevr.;42005;Volop Bellen Internationaal;617.260.274;Cable TV;0
457;MEDIUM RISK;42553;high;DUIVEN;Internet Max & TV Start;DUIVEN;Not Converged;42553;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;42553;500 / 50 MBPS;SAFE ONLINE;0;0;MEDIABOX;0;0;0;0;TV + INT + TEL;Dhr.;42553;Vast Bellen;4.671.232.877;Standard Channel Pack;0,
458;MEDIUM RISK;42553;high;LEEUWARDEN;Internet Complete & TV Complete;LEEUWARDEN;Not Converged;42553;Standard Channel Pack Horizon;0;Vast Bellen;0;0;1;1;1;1;42553;250 / 25 MBPS;SAFE ONLINE;0;0;MEDIABOX XL;0;1;0;0;TV + INT + TEL;Dhr.;42553;Vast Bellen;4.671.232.877;Standard Channel Pack;0,
459;HIGH RISK;43524;low;MUSSELKANAAL;Internet Complete & TV Complete Next;STADSKANAAL;Converged;43523;Extra Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;43523;250 / 25 MBPS;SAFE ONLINE XL;1;0;MEDIABOX NEXT;0;1;1;0;TV + INT + TEL;Dhr.;43523;Vast Bellen;201.369.863;Extra Channel Pack;1,
460;LOYAL & LIGHT RISK;40918;mid;AMERSFOORT;Internet Complete & TV Complete;AMERSFOORT;Not Converged;40918;Standard Channel Pack Horizon;0;Vast Bellen;1;0;1;1;1;1;40918;250 / 25 MBPS;SAFE ONLINE;0;0;MEDIABOX XL;0;1;0;0;TV + INT + TEL;Dhr.;40918;Vast Bellen;9.150.684.932;Standard Channel Pack;0,
461;HIGH RISK;43817;high;HENGELO OV;Internet Start & TV Start (zonder bellen) (Selene);HENGELO;Converged;43812;Standard Channel Pack Horizon;0;;0;0;1;1;1;0;43812;50 / 5 MBPS;SAFE ONLINE XL;1;0;MEDIABOX XL (SELENE);1;0;0;1;TV + INT;Mevr.;;;1.221.917.808;Standard Channel Pack;0,
462;MEDIUM RISK;42647;low;HELLENDOORN;Internet Start & TV Start;HELLENDOORN;Not Converged;42647;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;42647;50 / 5 MBPS;SAFE ONLINE;0;0;;0;0;0;0;TV + INT + TEL;Dhr.;42647;Vast Bellen;441.369.863;Standard Channel Pack;0,
463;MEDIUM RISK;41757;low;NEERITTER;Internet Start & TV Complete Next;LEUDAL;Converged;41757;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;41757;50 / 5 MBPS;SAFE ONLINE XL;1;0;MEDIABOX NEXT;1;1;0;1;TV + INT + TEL;Dhr.;41757;Vast Bellen;6.852.054.795;Standard Channel Pack;0,
464;MEDIUM RISK;40711;mid;JOURE;Internet Start & TV Complete Next;DE FRIESE MEREN;Converged;40711;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;40711;50 / 5 MBPS;SAFE ONLINE XL;1;0;MEDIABOX NEXT;0;1;0;0;TV + INT + TEL;Dhr.;40711;Vast Bellen;9.717.808.219;Standard Channel Pack;1,
465;MEDIUM RISK;41506;low;WAGENINGEN;Internet Start XL & TV Start;WAGENINGEN;Not Converged;41506;Standard Channel Pack No Horizon;0;Volop Bellen Internationaal;0;0;1;1;1;1;41506;100 / 10 MBPS;SAFE ONLINE;0;0;MEDIABOX;0;0;0;0;TV + INT + TEL;Dhr.;41506;Volop Bellen Internationaal;7.539.726.027;Standard Channel Pack;0,
466;HIGH RISK;41609;low;ENSCHEDE;Internet Start & TV Complete;ENSCHEDE;Not Converged;41609;Standard Channel Pack Horizon;0;Volop Bellen;0;0;1;1;1;1;41609;50 / 5 MBPS;SAFE ONLINE;0;0;MEDIABOX XL;0;1;0;0;TV + INT + TEL;Mevr.;41609;Volop Bellen;7.257.534.247;Standard Channel Pack;0,
468;LOYAL & LIGHT RISK;43034;mid;APELDOORN;Internet Complete & TV Complete Next;APELDOORN;Converged;43034;Extra Channel Pack No Horizon;1;Vast Bellen;1;0;1;1;1;1;43035;250 / 25 MBPS;SAFE ONLINE XL;1;0;MEDIABOX NEXT;0;1;1;0;TV + INT + TEL;Dhr.;43035;Vast Bellen;3.353.424.658;Extra Channel Pack;1,
470;HIGH RISK;41212;low;WEERT;Internet Complete & TV Complete Next;WEERT;Converged;41212;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;41212;250 / 25 MBPS;SAFE ONLINE XL;1;0;MEDIABOX NEXT;1;1;0;1;TV + INT + TEL;Dhr.;41212;Vast Bellen;8.345.205.479;Standard Channel Pack;0,
471;MEDIUM RISK;44126;low;HAARLEM;Internet Max & TV Complete (2P);HAARLEM;Not Converged;44125;Standard Channel Pack Horizon;0;;0;0;1;1;1;0;44125;500 / 50 MBPS;SAFE ONLINE;0;0;MEDIABOX XL;0;1;0;0;TV + INT;Dhr.;;;0.364383562;Standard Channel Pack;1,
472;HIGH RISK;42985;mid;OISTERWIJK;Internet Start & TV Complete (zonder bellen) (Selene);OISTERWIJK;Not Converged;42983;Standard Channel Pack Horizon;0;;0;0;1;1;1;0;42983;50 / 5 MBPS;SAFE ONLINE;0;0;MEDIABOX XL (SELENE);0;1;0;0;TV + INT;Aan;;;3.493.150.685;Standard Channel Pack;0,
473;HIGH RISK;41163;low;SITTARD;Alles-in-1 Basis (digitaal) (fZiggo);SITTARD-GELEEN;Converged;41163;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;41163;50 / 5 MBPS;SAFE ONLINE XL;1;0;;0;0;0;0;TV + INT + TEL;Dhr.;41163;Vast Bellen;8.479.452.055;Standard Channel Pack;1,
474;HIGH RISK;42368;mid;ZOETERMEER;Internet Complete & TV Complete Next;ZOETERMEER;Converged;42368;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;42368;250 / 25 MBPS;SAFE ONLINE XL;1;1;MEDIABOX NEXT;0;1;0;0;TV + INT + TEL;Dhr.;43608;Vast Bellen;5.178.082.192;Standard Channel Pack;0,
475;MEDIUM RISK;42553;mid;DINXPERLO;Internet Start XL & TV Start (CI+);AALTEN;Not Converged;42553;Standard Channel Pack No Horizon;0;Volop Bellen Internationaal;0;0;1;1;1;1;42553;100 / 10 MBPS;SAFE ONLINE;0;0;;1;0;0;1;TV + INT + TEL;Dhr.;42553;Volop Bellen Internationaal;4.671.232.877;Standard Channel Pack;0,
476;HIGH RISK;39793;low;GRUBBENVORST;Internet Complete & TV Complete Next;HORST AAN DE MAAS;Not Converged;39793;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;39793;250 / 25 MBPS;SAFE ONLINE;0;0;MEDIABOX NEXT;0;1;0;0;TV + INT + TEL;Dhr.;39793;Vast Bellen;1.223.287.671;Standard Channel Pack;0,
477;HIGH RISK;40947;high;LEIDEN;Internet Complete & TV Max Next;LEIDEN;Not Converged;40947;Extra Channel Pack No Horizon;1;Vast Bellen;1;1;1;1;1;1;40947;250 / 25 MBPS;SAFE ONLINE;0;0;MEDIABOX NEXT;0;0;1;0;TV + INT + TEL;Dhr.;40947;Vast Bellen;9.071.232.877;Extra Channel Pack;1,
478;MEDIUM RISK;42689;mid;SLEEUWIJK;TV Complete;ALTENA;Not Converged;42689;Extra Channel Pack Horizon;0;;0;0;1;1;0;0;;;;0;0;MEDIABOX XL;0;1;1;0;TV;Dhr./Mevr.;;;4.298.630.137;Extra Channel Pack;0,
479;MEDIUM RISK;43200;mid;BOXTEL;Internet Start & TV Start (2P);BOXTEL;Converged;39435;Standard Channel Pack No Horizon;0;;0;0;1;1;1;0;42672;50 / 5 MBPS;SAFE ONLINE XL;1;0;;1;0;0;1;TV + INT;Mevr.;;;1.321.369.863;Standard Channel Pack;0,
481;MEDIUM RISK;42689;mid;OSS;Internet Start & TV Start;OSS;Converged;42689;Standard Channel Pack No Horizon;0;Volop Bellen;0;0;1;1;1;1;42689;50 / 5 MBPS;SAFE ONLINE XL;1;0;MEDIABOX;0;0;0;0;TV + INT + TEL;Dhr.;42689;Volop Bellen;4.298.630.137;Standard Channel Pack;1,
482;HIGH RISK;41023;low;WEERT;TV+INT Z1 (digitaal) (fZiggo);WEERT;Not Converged;41023;Extra Channel Pack No Horizon;1;;1;1;1;1;1;0;42046;50 / 5 MBPS;SAFE ONLINE;0;0;;0;0;1;0;TV + INT;Dhr.;;;8.863.013.699;Extra Channel Pack;1,
483;MEDIUM RISK;41747;high;ROTTERDAM;25Mb/s & Vast Bellen & TV Start;ROTTERDAM;Not Converged;41747;Standard Channel Pack No Horizon;0;Vast Bellen;1;0;1;1;1;1;41747;25 / 2.5 MBPS;SAFE ONLINE;0;0;;0;0;0;0;TV + INT + TEL;Dhr.;41747;Vast Bellen;6.879.452.055;Standard Channel Pack;0,
487;MEDIUM RISK;41429;mid;OCHTEN;Internet Complete & TV Complete Next;NEDER-BETUWE;Not Converged;41429;Extra Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;41429;250 / 25 MBPS;SAFE ONLINE;0;0;MEDIABOX NEXT;0;1;1;0;TV + INT + TEL;Dhr.;41429;Vast Bellen;7.750.684.932;Extra Channel Pack;0,
488;LOYAL & LIGHT RISK;42230;low;PURMEREND;Internet Complete & TV Complete Next;PURMEREND;Not Converged;42230;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;42230;250 / 25 MBPS;SAFE ONLINE;0;0;MEDIABOX NEXT;1;1;0;1;TV + INT + TEL;Dhr.;42230;Vast Bellen;5.556.164.384;Standard Channel Pack;0,
491;MEDIUM RISK;42636;mid;ROOSENDAAL;Internet Complete & TV Start;ROOSENDAAL;Not Converged;42636;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;42636;250 / 25 MBPS;SAFE ONLINE;0;0;;0;0;0;0;TV + INT + TEL;Dhr./Mevr.;42636;Vast Bellen;4.443.835.616;Standard Channel Pack;0,
492;LOYAL & LIGHT RISK;41483;low;RIJSBERGEN;Internet Max & TV Max Next;ZUNDERT;Converged;41483;Extra Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;41483;500 / 50 MBPS;SAFE ONLINE XL;1;0;MEDIABOX NEXT;0;0;1;0;TV + INT + TEL;Dhr.;41483;Vast Bellen;7.602.739.726;Extra Channel Pack;1,
493;MEDIUM RISK;40413;low;ENSCHEDE;Internet Max & TV Max;ENSCHEDE;Converged;40413;Extra Channel Pack Horizon;0;Volop Bellen;0;0;1;1;1;1;40413;500 / 50 MBPS;SAFE ONLINE XL;1;0;MEDIABOX XL;0;0;1;0;TV + INT + TEL;Dhr.;40413;Volop Bellen;1.053.424.658;Extra Channel Pack;1,
494;HIGH RISK;42574;low;RIDDERKERK;Internet Complete & TV Complete;RIDDERKERK;Not Converged;42574;Standard Channel Pack Horizon;0;Volop Bellen;0;0;1;1;1;1;42574;250 / 25 MBPS;SAFE ONLINE;0;0;MEDIABOX XL;0;1;0;0;TV + INT + TEL;Mevr.;42574;Volop Bellen;461.369.863;Standard Channel Pack;0,
495;HIGH RISK;41703;mid;ARNHEM;Internet Complete & TV Start;ARNHEM;Not Converged;41703;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;41703;250 / 25 MBPS;SAFE ONLINE;0;0;MEDIABOX;0;0;0;0;TV + INT + TEL;Mevr.;41703;Vast Bellen;7;Standard Channel Pack;1,
496;HIGH RISK;42668;low;NUENEN;Internet Complete & TV Complete;NUENEN CA;Converged;42668;Extra Channel Pack Horizon;0;Volop Bellen;0;0;1;1;1;1;42668;250 / 25 MBPS;SAFE ONLINE XL;1;0;MEDIABOX XL;0;1;1;0;TV + INT + TEL;Dhr.;42668;Volop Bellen;4.356.164.384;Extra Channel Pack;1,
497;HIGH RISK;40843;low;PURMEREND;25Mb/s & Vast Bellen & TV Start;PURMEREND;Not Converged;40843;Standard Channel Pack No Horizon;0;Vast Bellen;0;0;1;1;1;1;44041;25 / 2.5 MBPS;SAFE ONLINE;0;0;;0;0;0;0;TV + INT + TEL;Dhr.;44041;Vast Bellen;9.356.164.384;Standard Channel Pack;0,
499;HIGH RISK;41583;low;SITTARD;Internet Complete & TV Complete;SITTARD-GELEEN;Converged;41583;Standard Channel Pack Horizon;0;Vast Bellen;0;0;1;1;1;1;41583;250 / 25 MBPS;SAFE ONLINE XL;1;0;MEDIABOX XL;1;1;0;1;TV + INT + TEL;Dhr.;43237;Vast Bellen;7.328.767.123;Standard Channel Pack;0,
500;HIGH RISK;40237;low;VENRAY;Internet Start & TV Start;VENRAY;Converged;40237;Standard Channel Pack No Horizon;0;Volop Bellen;1;0;1;1;1;1;40237;50 / 5 MBPS;SAFE ONLINE XL;1;0;MEDIABOX;0;0;0;0;TV + INT + TEL;Dhr.;40237;Volop Bellen;1.101.643.836;Standard Channel Pack;1,
